"Time","Family","Genus","Species","Number","Activity","TL","Comment","ID"
6.07373,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time in",1
6.08623,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",1
6.15493,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time out",1
6.49243,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time in",2
6.53893,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",2
6.59253,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",2
6.62233,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",2
6.64203,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",2
6.73963,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",2
6.94823,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"unknown",2
7.07023,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time out",2
7.18483,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time in",3
7.25403,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",3
7.26713,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",3
7.29303,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",3
7.31583,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",3
7.36533,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time in",4
7.38223,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time out",3
7.39333,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",4
7.43263,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",4
7.46063,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time out",4
7.59023,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time in",5
7.64503,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",5
7.68063,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Pocillopora",5
7.73153,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time out",5
8.91213,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",6,"time in",6
8.93293,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",6,"Tabular Acropora",6
