"Time","Family","Genus","Species","Number","Activity","TL","Comment","ID"
2.77353,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",1
2.78873,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",1
3.70633,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",2
3.71163,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Dipsastraea",2
3.80233,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Dipsastraea",2
3.89403,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",2
4.04173,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Sinularia",2
4.11283,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",2
7.72173,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",3
7.73983,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",3
7.74293,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",4
7.75823,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",3
7.77353,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",4
7.81653,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",4
7.82573,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",5
7.85853,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",4
7.88053,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",4
7.88383,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",3
7.88523,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",5
7.91053,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",4
7.93253,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",4
7.95533,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",4
7.96703,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",3
8.02763,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",5
8.07013,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",4
8.09603,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",3
8.13993,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",4
8.21673,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",4
8.23843,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",5
8.24033,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",4
8.29653,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",5
8.34793,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",5
8.36853,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",5
8.37073,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",3
8.39603,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",5
8.39963,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",4
8.41133,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",3
8.48193,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Corymbose Acropora",3
8.49953,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",5
8.52233,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",5
8.56403,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",4
8.58903,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",3
8.76503,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",5
8.88653,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",5
8.92043,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Branching Acropora",5
9.00003,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",5
9.05453,"Chaetodontidae","Coradion","altivelis",1,"Passing",16,"time in",6
9.11953,"Chaetodontidae","Coradion","altivelis",1,"Passing",16,"time out",6
9.18243,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",7
9.20913,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",7
9.37763,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",7
9.42953,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",7
9.44873,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",7
9.46573,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",7
9.57363,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",7
9.75463,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Sinularia",7
