Family,Genus,Species
Chaetodontidae,Chaetodon,aureofasciatus
Chaetodontidae,Chaetodon,baronessa
Chaetodontidae,Chaetodon,bennetti
Chaetodontidae,Chaetodon,lunulatus
Chaetodontidae,Chaetodon,melannotus
Chaetodontidae,Chaetodon,meyeri
Chaetodontidae,Chaetodon,ocellicaudus
Chaetodontidae,Chaetodon,octofasciatus
Chaetodontidae,Chaetodon,ornatissimus
Chaetodontidae,Chaetodon,plebeius
Chaetodontidae,Chaetodon,punctatofasciatus
Chaetodontidae,Chaetodon,rainfordi
Chaetodontidae,Chaetodon,reticulatus
Chaetodontidae,Chaetodon,trifascialis
Chaetodontidae,Chaetodon,unimaculatus
Chaetodontidae,Heniochus,singularis
Gobiidae,Goboidon,citrinus
Labridae,Diproctacanthus,xanthurus
Labridae,Labrichthys,unilineatus
Labridae,Labropsis,alleni
Labridae,Labropsis,australis
Labridae,Labropsis,manabei
Labridae,Labropsis,xanthonota
Monacanthidae,Cantherhines,dumerilii
Monacanthidae,Oxymonacanthus,longirostris
Pomacentridae,Cheiloprion,labiatus
Pomacentridae,Plectroglyphidodon,johnstonianus
Tetraodontidae,Arothron,meleagris
Tetraodontidae,Arothron,nigropunctatus
