Frame,Family,Genus,Species,SN,Number,TL
1,Pomacanthidae,Pomacanthus,xanthometopon,Pomacanthus_xanthometopon,1,18
1,Haemulidae,Plectorhinchus,multivittatus,Plectorhinchus_multivittatus,1,22
1,Acanthuridae,Acanthurus,spp,Acanthurus_spp,1,18
1,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,6
1,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,6
1,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,6
1,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,4
1,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,4
1,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,4
1,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,5
1,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,3
1,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,3
1,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,3
1,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,3
1,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,3
1,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,3
1,Labridae,Cirrhilabrus,punctatus,Cirrhilabrus_punctatus,1,7
1,Labridae,Cirrhilabrus,punctatus,Cirrhilabrus_punctatus,1,7
1,Pomacentridae,Amblyglyphidodon,curacao,Amblyglyphidodon_curacao,1,10
1,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,3
1,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,3
2,Acanthuridae,Acanthurus,spp,Acanthurus_spp,1,18
2,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,6
2,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,6
2,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,4
2,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,4
2,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,4
2,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,4
2,Pomacentridae,Pomacentrus,amboinensis,Pomacentrus_amboinensis,1,8
2,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,5
2,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,4
2,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,3
2,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,3
2,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,3
