Frame,Family,Genus,Species,SN,Number,TL
1,Labridae,Macropharyngodon,meleagris,Macropharyngodon_meleagris,1,6
1,Labridae,Stethojulis,bandanensis,Stethojulis_bandanensis,1,7
1,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,8
1,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,5
1,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,2
1,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,2
2,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,8
2,Pomacanthidae,Centropyge,vrolikii,Centropyge_vrolikii,1,10
3,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,8
3,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,3
3,Labridae,Anampses,neoguinaicus,Anampses_neoguinaicus,1,7
3,Nemipteridae,Scolopsis,bilineata,Scolopsis_bilineata,1,8
3,Labridae,Macropharyngodon,meleagris,Macropharyngodon_meleagris,1,6
3,Labridae,Anampses,geographicus,Anampses_geographicus,1,6
4,Labridae,Stethojulis,bandanensis,Stethojulis_bandanensis,1,6
4,Labridae,Macropharyngodon,meleagris,Macropharyngodon_meleagris,1,7
4,Nemipteridae,Scolopsis,bilineata,Scolopsis_bilineata,1,8
4,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,6
4,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,3
4,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,4
5,Nemipteridae,Scolopsis,bilineata,Scolopsis_bilineata,1,10
5,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,8
5,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,2
6,Pomacanthidae,Centropyge,vrolikii,Centropyge_vrolikii,1,12
6,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,6
6,Scaridae,Chlorurus,sordidus,Chlorurus_sordidus,1,14
6,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,2
6,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,4
7,Scaridae,Scarus,spp,Scarus_spp,1,8
7,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,6
7,Pomacanthidae,Centropyge,vrolikii,Centropyge_vrolikii,1,12
7,Pomacentridae,Neoglyphidodon,melas,Neoglyphidodon_melas,1,6
7,Labridae,Stethojulis,bandanensis,Stethojulis_bandanensis,1,6
8,Pomacanthidae,Centropyge,vrolikii,Centropyge_vrolikii,1,10
8,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,2
8,Labridae,Stethojulis,bandanensis,Stethojulis_bandanensis,1,8
8,Pomacentridae,Chromis,margaritifer,Chromis_margaritifer,1,4
8,Scaridae,Chlorurus,sordidus,Chlorurus_sordidus,1,8
8,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,7
8,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,5
9,Pomacanthidae,Centropyge,vrolikii,Centropyge_vrolikii,1,10
9,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,2
9,Labridae,Thalassoma,jansenii,Thalassoma_jansenii,1,10
