"Time","Family","Genus","Species","Number","Activity","TL","Comment","ID"
2.57833,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time in",1
2.64223,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",1
2.66203,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",1
2.73513,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",1
2.77233,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",1
3.02313,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Branching Acropora",1
3.26143,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time out",1
3.92913,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time in",2
3.97883,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",2
4.01253,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",2
4.12123,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",2
4.20743,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",2
4.25583,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",2
4.45713,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Tabular Acropora",2
4.50803,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Tabular Acropora",2
4.61613,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Branching Acropora",2
4.65563,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time out",2
4.67063,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time in",3
4.76663,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Tabular Acropora",3
4.80273,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Tabular Acropora",3
4.94343,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Tabular Acropora",3
5.05993,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Tabular Acropora",3
5.37773,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Tabular Acropora",3
5.61713,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time out",3
6.97043,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time in",4
7.33613,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",4
7.37583,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",4
7.50993,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",4
7.60523,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time out",4
8.64493,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time in",5
8.67163,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Tabular Acropora",5
8.81093,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time out",5
11.48803,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time in",6
11.64453,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",6
11.82833,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time out",6
12.99143,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time in",7
13.01543,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Tabular Acropora",7
13.04403,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Tabular Acropora",7
13.06483,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time in",8
13.08013,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Tabular Acropora",7
13.10493,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",8
13.20003,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time out",7
13.35743,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Branching Acropora",8
13.40073,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Branching Acropora",8
13.43223,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Branching Acropora",8
13.46413,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Branching Acropora",8
13.54453,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Branching Acropora (till V3",8
13.57793,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time out",8
13.56667,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time in",9
13.57727,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",9
13.66177,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",9
13.75187,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Tabular Acropora",9
13.91677,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time out",9
15.67407,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time in",10
15.84177,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Branching Acropora",10
15.90627,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time out",10
17.07657,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time in",11
17.11887,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",11
17.13607,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",11
17.43027,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time out",11
17.68937,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",11,"time in",12
17.71167,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",12
17.73747,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",12
17.78807,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",12
17.89657,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",11,"Foliose Montipora",12
