"Time","Family","Genus","Species","Number","Activity","TL","Comment","ID"
3.17193,"Chaetodontidae","Chaetodon","trifascialis",1,"Passing",14,"time in",1
3.36963,"Chaetodontidae","Chaetodon","trifascialis",1,"Feeding",14,"Tabular Acropora",1
3.41883,"Chaetodontidae","Chaetodon","trifascialis",1,"Feeding",14,"Tabular Acropora",1
3.45663,"Chaetodontidae","Chaetodon","trifascialis",1,"Feeding",14,"Tabular Acropora",1
3.48723,"Chaetodontidae","Chaetodon","trifascialis",1,"Feeding",14,"Tabular Acropora",1
3.50223,"Chaetodontidae","Chaetodon","trifascialis",1,"Feeding",14,"Tabular Acropora",1
3.53423,"Chaetodontidae","Chaetodon","trifascialis",1,"Feeding",14,"Tabular Acropora",1
3.56013,"Chaetodontidae","Chaetodon","trifascialis",1,"Feeding",14,"Tabular Acropora",1
3.58293,"Chaetodontidae","Chaetodon","trifascialis",1,"Feeding",14,"Tabular Acropora",1
3.63463,"Chaetodontidae","Chaetodon","trifascialis",1,"Feeding",14,"Tabular Acropora",1
3.65243,"Chaetodontidae","Chaetodon","trifascialis",1,"Feeding",14,"Tabular Acropora",1
3.93883,"Chaetodontidae","Chaetodon","trifascialis",1,"Passing",14,"time out",1
5.26093,"Chaetodontidae","Chaetodon","kleinii",1,"Passing",12,"time in",2
5.29403,"Chaetodontidae","Chaetodon","kleinii",1,"Feeding",12,"Tabular Acropora",2
5.37943,"Chaetodontidae","Chaetodon","kleinii",1,"Feeding",12,"Tabular Acropora",2
5.44113,"Chaetodontidae","Chaetodon","kleinii",1,"Feeding",12,"Tabular Acropora",2
5.48593,"Chaetodontidae","Chaetodon","kleinii",1,"Feeding",12,"Tabular Acropora",2
5.88743,"Chaetodontidae","Chaetodon","trifascialis",1,"Passing",14,"time in",3
5.90523,"Chaetodontidae","Chaetodon","kleinii",1,"Passing",12,"time out",2
5.92773,"Chaetodontidae","Chaetodon","trifascialis",1,"Feeding",14,"Tabular Acropora",3
6.06093,"Chaetodontidae","Chaetodon","trifascialis",1,"Feeding",14,"Tabular Acropora",3
6.14103,"Chaetodontidae","Chaetodon","trifascialis",1,"Feeding",14,"Tabular Acropora",3
6.18553,"Chaetodontidae","Chaetodon","trifascialis",1,"Passing",14,"time out",3
6.21053,"Chaetodontidae","Chaetodon","trifascialis",1,"Passing",14,"time in",4
6.25503,"Chaetodontidae","Chaetodon","trifascialis",1,"Passing",14,"time in",5
6.33483,"Chaetodontidae","Chaetodon","trifascialis",1,"Passing",14,"time out",4
