"Time","Family","Genus","Species","Number","Activity","TL","Comment","ID"
9.19653,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",1
9.24853,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.28523,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.32613,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.35173,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.42183,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.44793,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.47903,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.56893,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.58863,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.61563,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.66013,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.69563,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.73713,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.75963,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",1
9.87693,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",1
17.14077,"Chaetodontidae","Chelmon","marginalis",1,"Passing",12,"time in",2
17.23587,"Chaetodontidae","Chelmon","marginalis",1,"Passing",12,"time out",2
19.43227,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",3
19.46227,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",3
19.47817,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",3
19.50647,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"Porites",3
19.52147,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",3
19.85877,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",4
19.99447,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",4
20.00337,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",4
20.05207,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",4
20.07147,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Feeding",10,"unknown",4
20.11597,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",4
22.48527,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",5
22.57677,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time out",5
23.37677,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",6
23.39957,"Chaetodontidae","Chaetodon","aureofasciatus",1,"Passing",10,"time in",7
