Frame,Family,Genus,Species,SN,Number,TL
1,Chaetodontidae,Chaetodon,trifascialis,Chaetodon_trifascialis,1,14
1,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,6.5
1,Ostraciidae,Ostracion,meleagris,Ostracion_meleagris,1,6
1,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
1,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
1,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
1,Labridae,Bodianus,axillaris,Bodianus_axillaris,1,12
1,Pomacanthidae,Centropyge,bispinosa,Centropyge_bispinosa,1,10
1,Caesionidae,Pterocaesio,digramma,Pterocaesio_digramma,1,14
1,Caesionidae,Caesio,cuning,Caesio_cuning,1,14
1,Caesionidae,Caesio,cuning,Caesio_cuning,1,14
1,Caesionidae,Caesio,cuning,Caesio_cuning,1,14
1,Caesionidae,Caesio,cuning,Caesio_cuning,1,14
1,Caesionidae,Caesio,cuning,Caesio_cuning,1,14
1,Caesionidae,Caesio,cuning,Caesio_cuning,1,14
1,Chaetodontidae,Chaetodon,pelewensis,Chaetodon_pelewensis,1,12
1,Chaetodontidae,Chaetodon,pelewensis,Chaetodon_pelewensis,1,12
2,Chaetodontidae,Chaetodon,pelewensis,Chaetodon_pelewensis,1,12
2,Chaetodontidae,Chaetodon,pelewensis,Chaetodon_pelewensis,1,12
2,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
2,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
2,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
2,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
2,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,7
2,Labridae,Labropsis,australis,Labropsis_australis,1,12
3,Labridae,Labropsis,australis,Labropsis_australis,1,12
3,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,7
3,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
3,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
3,Labridae,Thalassoma,lunare,Thalassoma_lunare,1,10
3,Ostraciidae,Ostracion,cubicus,Ostracion_cubicus,1,12
3,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
3,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
3,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
3,Caesionidae,Caesio,cuning,Caesio_cuning,1,14
3,Caesionidae,Caesio,cuning,Caesio_cuning,1,14
3,Caesionidae,Caesio,cuning,Caesio_cuning,1,14
3,Caesionidae,Caesio,cuning,Caesio_cuning,1,14
3,Caesionidae,Caesio,cuning,Caesio_cuning,1,14
3,Caesionidae,Caesio,cuning,Caesio_cuning,1,14
3,Caesionidae,Caesio,cuning,Caesio_cuning,1,14
4,Ostraciidae,Ostracion,cubicus,Ostracion_cubicus,1,12
4,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
4,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
4,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
4,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
4,Pomacentridae,Pomacentrus,philippinus,Pomacentrus_philippinus,1,10
4,Labridae,Bodianus,axillaris,Bodianus_axillaris,1,12
4,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,6
4,Chaetodontidae,Chaetodon,pelewensis,Chaetodon_pelewensis,1,12
4,Chaetodontidae,Chaetodon,pelewensis,Chaetodon_pelewensis,1,12
4,Labridae,Oxycheilinus,digramma,Oxycheilinus_digramma,1,16
5,Labridae,Oxycheilinus,digramma,Oxycheilinus_digramma,1,16
5,Acanthuridae,Zebrasoma,scopas,Zebrasoma_scopas,1,16
5,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,6
5,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
5,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
5,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
5,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
5,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,6
5,Acanthuridae,Zebrasoma,scopas,Zebrasoma_scopas,1,15
6,Acanthuridae,Zebrasoma,scopas,Zebrasoma_scopas,1,16
6,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
6,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
6,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
6,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
6,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
6,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,7
6,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,7
6,Labridae,Hemigymnus,fasciatus,Hemigymnus_fasciatus,1,12
6,Chaetodontidae,Chaetodon,pelewensis,Chaetodon_pelewensis,1,12
6,Chaetodontidae,Chaetodon,pelewensis,Chaetodon_pelewensis,1,12
6,Ostraciidae,Ostracion,cubicus,Ostracion_cubicus,1,12
7,Labridae,Thalassoma,lunare,Thalassoma_lunare,1,10
7,Labridae,Labrichthys,unilineatus,Labrichthys_unilineatus,1,8
7,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,6
7,Labridae,Hemigymnus,fasciatus,Hemigymnus_fasciatus,1,12
7,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
7,Chaetodontidae,Chaetodon,pelewensis,Chaetodon_pelewensis,1,12
7,Chaetodontidae,Chaetodon,pelewensis,Chaetodon_pelewensis,1,12
8,Acanthuridae,Ctenochaetus,binotatus,Ctenochaetus_binotatus,1,14
8,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,6
8,Ostraciidae,Ostracion,cubicus,Ostracion_cubicus,1,12
8,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,6
8,Scaridae,Chlorurus,sordidus,Chlorurus_sordidus,1,35
8,Scaridae,Chlorurus,sordidus,Chlorurus_sordidus,1,35
8,Acanthuridae,Naso,brevirostris,Naso_brevirostris,1,20
8,Scaridae,Scarus,niger,Scarus_niger,1,20
8,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
8,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
8,Labridae,Labropsis,australis,Labropsis_australis,1,8
9,Acanthuridae,Naso,brevirostris,Naso_brevirostris,1,25
9,Acanthuridae,Naso,brevirostris,Naso_brevirostris,1,25
9,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
9,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
9,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
9,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
9,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
9,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
9,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,6
9,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,6
9,Acanthuridae,Ctenochaetus,binotatus,Ctenochaetus_binotatus,1,15
9,Scaridae,Scarus,niger,Scarus_niger,1,20
9,Ostraciidae,Ostracion,cubicus,Ostracion_cubicus,1,10
9,Labridae,Hemigymnus,melapterus,Hemigymnus_melapterus,1,16
9,Acanthuridae,Ctenochaetus,binotatus,Ctenochaetus_binotatus,1,15
9,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,6
10,Ostraciidae,Ostracion,cubicus,Ostracion_cubicus,1,12
10,Pomacentridae,Pomacentrus,philippinus,Pomacentrus_philippinus,1,10
10,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,7
10,Pomacanthidae,Centropyge,bispinosa,Centropyge_bispinosa,1,10
10,Labridae,Labropsis,australis,Labropsis_australis,1,8
10,Scaridae,Scarus,niger,Scarus_niger,1,20
10,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
10,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
10,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
10,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
11,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
11,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
11,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
11,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
11,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,7
11,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,7
11,Chaetodontidae,Chaetodon,pelewensis,Chaetodon_pelewensis,1,12
11,Labridae,Thalassoma,lunare,Thalassoma_lunare,1,13
11,Chaetodontidae,Chaetodon,kleinii,Chaetodon_kleinii,1,12
11,Acanthuridae,Ctenochaetus,binotatus,Ctenochaetus_binotatus,1,15
11,Scaridae,Scarus,niger,Scarus_niger,1,20
11,Pomacentridae,Pomacentrus,philippinus,Pomacentrus_philippinus,1,8
11,Ostraciidae,Ostracion,cubicus,Ostracion_cubicus,1,10
11,Labridae,Labropsis,australis,Labropsis_australis,1,9
11,Acanthuridae,Ctenochaetus,binotatus,Ctenochaetus_binotatus,1,14
12,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,7
12,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,7
12,Pomacanthidae,Centropyge,bispinosa,Centropyge_bispinosa,1,10
12,Pomacentridae,Pomacentrus,philippinus,Pomacentrus_philippinus,1,8
12,Chaetodontidae,Chaetodon,trifascialis,Chaetodon_trifascialis,1,14
12,Chaetodontidae,Chaetodon,trifascialis,Chaetodon_trifascialis,1,14
12,Labridae,Thalassoma,lunare,Thalassoma_lunare,1,11
12,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
12,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
12,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
12,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus_lepidogenys,1,7
12,Acanthuridae,Ctenochaetus,binotatus,Ctenochaetus_binotatus,1,15
12,Labridae,Labropsis,australis,Labropsis_australis,1,12
13,Pomacentridae,Pomacentrus,chrysurus,Pomacentrus_chrysurus,1,8
13,Labridae,Thalassoma,lunare,Thalassoma_lunare,1,10
13,Chaetodontidae,Chaetodon,trifascialis,Chaetodon_trifascialis,1,14
13,Kyphosidae,Kyphosus,vaigiensis,Kyphosus_vaigiensis,1,18
13,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,6.5
13,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus_moluccensis,1,6.5
13,Pomacanthidae,Centropyge,bispinosa,Centropyge_bispinosa,1,10
13,Acanthuridae,Zebrasoma,scopas,Zebrasoma_scopas,1,14
13,Labridae,Thalassoma,lunare,Thalassoma_lunare,1,12
13,Scaridae,Scarus,rivulatus,Scarus_rivulatus,1,14
